## SDSS/LSST colors as functions of Mr and FeH ########
## see MSandRGBcolors_v1.3.header
#   Mr      FeH      ug       gr       ri      iz     zy
   1.09   -2.50   1.1375   0.4918   0.2128   0.1219   0.0586 
   1.10   -2.50   1.1364   0.4914   0.2125   0.1217   0.0585 
   1.11   -2.50   1.1352   0.4910   0.2122   0.1215   0.0584 
   1.12   -2.50   1.1340   0.4905   0.2120   0.1213   0.0583 
   1.13   -2.50   1.1329   0.4901   0.2117   0.1210   0.0582 
   1.14   -2.50   1.1317   0.4897   0.2115   0.1208   0.0581 
   1.15   -2.50   1.1306   0.4893   0.2112   0.1206   0.0580 
   1.16   -2.50   1.1294   0.4889   0.2110   0.1204   0.0579 
   1.17   -2.50   1.1282   0.4885   0.2107   0.1202   0.0578 
   1.18   -2.50   1.1271   0.4881   0.2105   0.1199   0.0576 
   1.19   -2.50   1.1259   0.4877   0.2102   0.1197   0.0575 
   1.20   -2.50   1.1247   0.4873   0.2100   0.1195   0.0574 
   1.21   -2.50   1.1236   0.4868   0.2098   0.1193   0.0573 
   1.22   -2.50   1.1224   0.4864   0.2095   0.1191   0.0572 
   1.23   -2.50   1.1213   0.4860   0.2093   0.1188   0.0571 
   1.24   -2.50   1.1201   0.4856   0.2090   0.1186   0.0570 
   1.25   -2.50   1.1189   0.4852   0.2088   0.1184   0.0569 
   1.26   -2.50   1.1178   0.4848   0.2085   0.1182   0.0568 
   1.27   -2.50   1.1166   0.4844   0.2083   0.1180   0.0567 
   1.28   -2.50   1.1155   0.4840   0.2080   0.1177   0.0566 
   1.29   -2.50   1.1143   0.4835   0.2078   0.1175   0.0565 
   1.30   -2.50   1.1131   0.4831   0.2075   0.1173   0.0564 
   1.31   -2.50   1.1120   0.4827   0.2072   0.1171   0.0563 
   1.32   -2.50   1.1108   0.4823   0.2070   0.1169   0.0562 
   1.33   -2.50   1.1096   0.4819   0.2067   0.1166   0.0561 
   1.34   -2.50   1.1085   0.4815   0.2065   0.1164   0.0560 
   1.35   -2.50   1.1073   0.4811   0.2062   0.1162   0.0559 
   1.36   -2.50   1.1061   0.4806   0.2060   0.1160   0.0558 
   1.37   -2.50   1.1050   0.4802   0.2057   0.1157   0.0557 
   1.38   -2.50   1.1038   0.4798   0.2055   0.1155   0.0556 
   1.39   -2.50   1.1027   0.4794   0.2052   0.1153   0.0555 
   1.40   -2.50   1.1015   0.4790   0.2050   0.1151   0.0554 
   1.41   -2.50   1.1003   0.4786   0.2048   0.1149   0.0553 
   1.42   -2.50   1.0992   0.4782   0.2045   0.1146   0.0552 
   1.43   -2.50   1.0980   0.4778   0.2043   0.1144   0.0550 
   1.44   -2.50   1.0969   0.4774   0.2040   0.1142   0.0549 
   1.45   -2.50   1.0957   0.4769   0.2038   0.1140   0.0548 
   1.46   -2.50   1.0945   0.4765   0.2035   0.1138   0.0547 
   1.47   -2.50   1.0934   0.4761   0.2033   0.1135   0.0546 
   1.48   -2.50   1.0922   0.4757   0.2030   0.1133   0.0545 
   1.49   -2.50   1.0910   0.4753   0.2028   0.1131   0.0544 
   1.50   -2.50   1.0899   0.4749   0.2025   0.1129   0.0543 
   1.51   -2.50   1.0887   0.4745   0.2022   0.1127   0.0542 
   1.52   -2.50   1.0875   0.4740   0.2020   0.1124   0.0541 
   1.53   -2.50   1.0864   0.4736   0.2017   0.1122   0.0540 
   1.54   -2.50   1.0852   0.4732   0.2015   0.1120   0.0539 
   1.55   -2.50   1.0841   0.4728   0.2012   0.1118   0.0538 
   1.56   -2.50   1.0829   0.4724   0.2010   0.1115   0.0537 
   1.57   -2.50   1.0817   0.4720   0.2007   0.1113   0.0536 
   1.58   -2.50   1.0806   0.4716   0.2005   0.1111   0.0535 
   1.59   -2.50   1.0794   0.4712   0.2002   0.1109   0.0534 
   1.60   -2.50   1.0782   0.4708   0.2000   0.1107   0.0533 
   1.61   -2.50   1.0771   0.4703   0.1998   0.1104   0.0532 
   1.62   -2.50   1.0759   0.4699   0.1995   0.1102   0.0531 
   1.63   -2.50   1.0748   0.4695   0.1993   0.1100   0.0530 
   1.64   -2.50   1.0736   0.4691   0.1990   0.1098   0.0529 
   1.65   -2.50   1.0724   0.4687   0.1988   0.1096   0.0528 
   1.66   -2.50   1.0713   0.4683   0.1985   0.1093   0.0527 
   1.67   -2.50   1.0701   0.4679   0.1983   0.1091   0.0526 
   1.68   -2.50   1.0690   0.4675   0.1980   0.1089   0.0524 
   1.69   -2.50   1.0678   0.4670   0.1978   0.1087   0.0523 
   1.70   -2.50   1.0666   0.4666   0.1975   0.1085   0.0522 
   1.71   -2.50   1.0655   0.4662   0.1972   0.1082   0.0521 
   1.72   -2.50   1.0643   0.4658   0.1970   0.1080   0.0520 
   1.73   -2.50   1.0631   0.4654   0.1967   0.1078   0.0519 
   1.74   -2.50   1.0620   0.4650   0.1965   0.1076   0.0518 
   1.75   -2.50   1.0608   0.4646   0.1962   0.1074   0.0517 
   1.76   -2.50   1.0596   0.4641   0.1960   0.1071   0.0516 
   1.77   -2.50   1.0585   0.4637   0.1957   0.1069   0.0515 
   1.78   -2.50   1.0573   0.4633   0.1955   0.1067   0.0514 
   1.79   -2.50   1.0562   0.4629   0.1952   0.1065   0.0513 
   1.80   -2.50   1.0550   0.4625   0.1950   0.1063   0.0512 
   1.81   -2.50   1.0538   0.4621   0.1948   0.1060   0.0511 
   1.82   -2.50   1.0527   0.4617   0.1945   0.1058   0.0510 
   1.83   -2.50   1.0515   0.4613   0.1943   0.1056   0.0509 
   1.84   -2.50   1.0504   0.4609   0.1940   0.1054   0.0508 
   1.85   -2.50   1.0492   0.4604   0.1938   0.1051   0.0507 
   1.86   -2.50   1.0480   0.4600   0.1935   0.1049   0.0506 
   1.87   -2.50   1.0469   0.4596   0.1933   0.1047   0.0505 
   1.88   -2.50   1.0457   0.4592   0.1930   0.1045   0.0504 
   1.89   -2.50   1.0445   0.4588   0.1928   0.1043   0.0503 
   1.90   -2.50   1.0434   0.4584   0.1925   0.1040   0.0502 
   1.91   -2.50   1.0422   0.4580   0.1922   0.1038   0.0501 
   1.92   -2.50   1.0410   0.4575   0.1920   0.1036   0.0500 
   1.93   -2.50   1.0399   0.4571   0.1917   0.1034   0.0498 
   1.94   -2.50   1.0387   0.4567   0.1915   0.1032   0.0497 
   1.95   -2.50   1.0376   0.4563   0.1912   0.1029   0.0496 
   1.96   -2.50   1.0364   0.4559   0.1910   0.1027   0.0495 
   1.97   -2.50   1.0352   0.4555   0.1907   0.1025   0.0494 
   1.98   -2.50   1.0341   0.4551   0.1905   0.1023   0.0493 
   1.99   -2.50   1.0329   0.4547   0.1902   0.1021   0.0492 
   2.00   -2.50   1.0317   0.4543   0.1900   0.1018   0.0491 
   2.01   -2.50   1.0306   0.4538   0.1898   0.1016   0.0490 
   2.02   -2.50   1.0294   0.4534   0.1895   0.1014   0.0489 
   2.03   -2.50   1.0283   0.4530   0.1893   0.1012   0.0488 
   2.04   -2.50   1.0271   0.4526   0.1890   0.1010   0.0487 
   2.05   -2.50   1.0259   0.4522   0.1888   0.1007   0.0486 
   2.06   -2.50   1.0248   0.4518   0.1885   0.1005   0.0485 
   2.07   -2.50   1.0236   0.4514   0.1883   0.1003   0.0484 
   2.08   -2.50   1.0225   0.4510   0.1880   0.1001   0.0483 
   2.09   -2.50   1.0213   0.4505   0.1878   0.0998   0.0482 
   2.10   -2.50   1.0201   0.4501   0.1875   0.0996   0.0481 
   2.11   -2.50   1.0190   0.4497   0.1872   0.0994   0.0480 
