      glon       glat        FeHEst FeHUnc  MrEst  MrUnc  ArEst  ArUnc  chi2min    MrdS     FeHdS      ArdS 
  1.05194092 -44.84949112   -0.46   0.37   13.67   0.13    0.21   0.05   1.15     -33.7      -9.6     -87.3       925
  1.01851368 -44.65420532   -0.22   0.10    3.96   0.27    0.20   0.03   0.25     -26.7     -10.0    -138.8       926
  0.34694451 -45.26461029   -0.31   0.21   11.81   0.20    0.20   0.05   0.21     -30.4     -14.6     -66.6       927
  0.49034032 -44.90533066   -0.38   0.27    9.17   0.24    0.11   0.02   0.37     -27.9      -8.7    -179.7       928
  0.79770422 -44.58559799   -0.32   0.24   13.35   0.18    0.17   0.06   1.05     -28.4     -15.0     -39.9       929
  0.71396309 -44.88698578   -0.23   0.09    4.93   0.18    0.17   0.04   0.81     -32.4      -9.1     -68.0       930
  1.18505740 -45.13110352   -0.30   0.13    5.19   0.24    0.19   0.05   0.33     -33.2      -5.7     -63.0       931
  1.38945246 -44.98751068   -0.25   0.14    8.33   0.13    0.11   0.02   3.05     -31.9     -11.3    -159.8       932
  1.08311582 -44.42228317   -0.40   0.05    3.46   0.16    0.07   0.04   0.22     -34.2     -17.6     -78.9       933
  0.66799051 -44.95109558   -0.18   0.10   11.75   0.11    0.05   0.03   3.86     -38.3     -22.5    -135.4       934
  1.13354909 -44.93757248   -0.29   0.12    4.38   0.28    0.17   0.05   0.47     -27.3      -5.8     -48.5       935
  0.81804210 -44.59918213   -0.23   0.14   11.68   0.15    0.15   0.04   0.70     -35.1     -18.8     -80.2       936
  0.65054870 -45.37802887   -0.21   0.12   11.15   0.12    0.06   0.02   3.73     -33.2     -12.5    -143.4       937
  1.34072363 -44.33409500   -0.21   0.13   10.91   0.13    0.11   0.02   0.49     -35.5     -17.1    -194.5       938
  0.36895761 -45.31544113   -0.19   0.13   12.54   0.15    0.11   0.06   0.73     -33.8     -23.7     -14.4       939
  0.23602965 -45.36900711   -0.32   0.21   10.02   0.20    0.16   0.02   0.55     -30.3     -11.7    -189.4       940
  1.35552478 -44.34586716   -0.29   0.19   12.63   0.19    0.14   0.08   1.16     -28.4     -16.6      -2.0       941
  1.30870616 -44.39086533   -0.21   0.08    5.04   0.15    0.14   0.03   0.86     -38.9     -10.9     -85.9       942
  0.46921292 -45.00887299   -0.58   0.52   13.82   0.10    0.22   0.04   1.57     -37.9      -8.3    -131.9       943
  1.41704476 -44.69804001   -0.41   0.28   10.75   0.24    0.08   0.03   0.36     -28.2      -9.3    -107.8       944
  0.07888724 -45.32268524   -0.36   0.23   10.08   0.21    0.14   0.02   0.14     -28.4      -9.8    -171.0       945
  1.33995283 -44.90522003   -0.23   0.15    9.61   0.15    0.17   0.02   2.16     -33.4     -16.5    -170.9       946
  0.61422241 -45.32808685   -0.26   0.18   12.32   0.19    0.11   0.07   0.22     -29.7     -17.7      -6.3       947
  1.25629199 -44.78837585   -0.38   0.31   11.27   0.26    0.22   0.05   3.31     -25.9     -11.7     -89.1       948
  1.44186413 -44.29650497   -0.17   0.09    8.56   0.09    0.07   0.02   1.64     -38.1     -18.8    -203.0       949
  1.05811036 -45.02499008   -0.39   0.27   10.68   0.24    0.11   0.04   1.59     -28.5     -10.7     -68.5       950
  0.19841483 -44.93706512   -0.99   0.62   14.00   0.09    0.22   0.02   4.80     -39.6      -7.1    -185.1       951
  1.02852309 -44.70808029   -0.20   0.13   12.27   0.15    0.17   0.05   0.44     -34.1     -22.1     -42.4       952
  1.22144639 -44.53408813   -0.27   0.18    8.79   0.17    0.06   0.02   1.26     -30.9     -12.8    -153.5       953
  1.19908273 -44.71552658   -0.34   0.25   10.60   0.25    0.12   0.07   3.58     -24.9     -13.8      -0.1       954
  0.24525931 -45.58156586   -0.24   0.11    6.34   0.17    0.18   0.05   1.88     -35.6      -8.1     -99.0       955
  1.48355126 -44.59119797   -0.22   0.14   11.32   0.14    0.11   0.02   0.31     -35.7     -18.6    -144.6       956
  0.13019016 -45.29704666   -0.73   0.57   13.88   0.10    0.20   0.05   0.33     -38.8      -6.9     -80.8       957
  0.69110203 -45.01739883   -0.30   0.21    9.73   0.20    0.14   0.02   2.37     -29.8     -12.0    -155.0       958
  0.87576157 -45.10224152   -0.25   0.16   12.83   0.11    0.04   0.03   0.18     -38.2     -17.2    -136.7       959
  1.45449197 -44.84030151   -0.30   0.20   10.66   0.19    0.13   0.04   0.82     -31.6     -14.9     -69.6       960
  0.07455917 -45.37673569   -0.43   0.32   10.73   0.28    0.12   0.07   0.30     -23.1     -10.4      -0.2       961
  1.00228119 -44.54425049   -0.25   0.15   12.53   0.12    0.14   0.02   0.33     -35.3     -15.7    -125.5       962
  1.36145496 -44.68135452   -0.37   0.20   13.37   0.09    0.24   0.03   7.08     -42.0     -12.8    -159.0       963
  0.38244310 -45.14567947   -0.31   0.22    9.88   0.20    0.11   0.03   0.28     -30.4     -12.6    -146.8       964
  0.39539018 -45.56656647   -0.42   0.14    5.21   0.25    0.13   0.05   0.87     -22.9     -10.0     -28.8       965
  1.30700946 -44.72261810   -0.28   0.18   12.90   0.13    0.10   0.05   4.94     -35.6     -15.7     -25.0       966
  0.08597835 -45.54561234   -0.23   0.16   12.26   0.16    0.07   0.05   0.39     -32.5     -19.7     -51.1       967
  1.09250188 -45.07729721   -0.60   0.46   13.79   0.16    0.19   0.05   3.12     -31.2      -6.6     -87.7       968
  0.32555071 -45.16497421   -0.24   0.13   11.54   0.13    0.11   0.02   6.48     -32.7     -12.5    -189.5       969
  0.25395191 -44.92788696   -0.21   0.13    9.31   0.13    0.13   0.02   2.04     -36.4     -17.5    -203.4       970
  0.39274278 -44.93976974   -0.27   0.16    8.23   0.16    0.13   0.03   0.37     -30.5     -11.7    -131.4       971
  1.03595972 -44.82813644   -0.23   0.16   12.51   0.20    0.13   0.07   0.92     -27.4     -20.7      -0.3       972
  1.08266139 -44.67198563   -0.28   0.21   13.10   0.21    0.14   0.08   8.80     -26.2     -17.1      -0.6       973
  1.15988052 -44.59142685   -0.69   0.48   10.94   0.35    0.14   0.08   1.47     -19.2      -3.9      -0.0       974
  0.84956634 -44.77620316   -0.28   0.14    8.56   0.11    0.07   0.02   4.63     -37.3      -5.4    -157.4       975
  1.01621139 -44.68384933   -0.26   0.16   11.46   0.15    0.16   0.02   2.63     -32.9     -14.7    -187.9       976
  0.85206336 -44.65059280   -0.35   0.21   10.39   0.20    0.14   0.02   4.45     -27.0      -7.7    -162.3       977
  1.12517095 -44.68973541   -0.21   0.15   13.21   0.11    0.12   0.06   1.97     -37.5     -21.0     -17.3       978
  1.27953541 -44.74793625   -0.24   0.09    5.57   0.15    0.16   0.04   1.91     -39.7     -11.8     -97.9       979
  1.36822259 -44.47546005   -0.36   0.24   12.30   0.20    0.16   0.06   1.88     -27.8     -13.1     -22.7       980
  1.14439654 -44.99739456   -0.21   0.13   12.00   0.15    0.12   0.05   0.92     -35.1     -20.9     -49.8       981
  1.17825198 -44.97854233   -0.25   0.18   13.06   0.14    0.16   0.06   0.17     -33.4     -18.8     -19.6       982
  1.13368905 -45.07665634   -0.44   0.37    9.06   0.31    0.10   0.06   0.11     -25.5      -8.6     -19.2       983
  0.85323650 -45.01708221   -0.28   0.18   12.55   0.16    0.14   0.05   0.21     -33.2     -15.9     -26.9       984
  1.31967664 -44.91919327   -0.25   0.18   12.94   0.14    0.09   0.06   0.33     -33.3     -18.4     -19.4       985
  0.24363561 -45.22503281   -0.42   0.34   13.58   0.17    0.21   0.05   0.31     -29.3     -11.1     -79.1       986
  0.03716437 -45.35869598   -0.36   0.27   11.39   0.28    0.15   0.08   0.09     -22.1     -13.0      -0.6       987
  1.38120842 -44.81065369   -0.14   0.06    6.26   0.09    0.18   0.03   1.42     -45.1     -17.1    -148.5       988
  0.23965125 -45.31910324   -0.25   0.16   11.76   0.16    0.09   0.04   1.17     -34.2     -17.4     -63.9       989
  0.69740415 -45.17813492   -0.41   0.32   13.56   0.15    0.22   0.05   0.50     -31.5     -11.4     -84.0       990
  0.90854365 -44.98266983   -0.28   0.19   10.73   0.19    0.14   0.05   1.75     -31.8     -15.7     -46.4       991
  0.05589123 -45.58958817   -0.19   0.12   10.25   0.12    0.08   0.02   4.20     -33.7     -16.1    -154.6       992
  1.33397317 -44.98608017   -0.25   0.17   12.87   0.14    0.06   0.05   1.93     -33.9     -18.4     -41.1       993
  0.15222517 -44.93726349   -0.15   0.06    6.26   0.09    0.18   0.03   7.12     -39.8     -16.9    -155.5       994
  0.30825514 -45.10355759   -0.20   0.11    7.78   0.09    0.07   0.03   4.01     -36.3     -12.2    -127.3       995
  1.25968349 -44.50667191   -0.34   0.08    3.06   0.20    0.15   0.07   0.30     -30.5     -10.3     -13.6       996
  1.44650102 -44.38991928   -0.36   0.25   12.93   0.13    0.20   0.04   1.53     -36.1     -13.2    -115.8       997
  1.41073251 -44.64906693   -0.35   0.26   13.37   0.17    0.18   0.06   1.54     -29.6     -14.0     -47.5       998
  0.52573460 -44.86973572   -0.30   0.23   12.15   0.31    0.12   0.08   3.41     -20.5     -16.3      -2.0       999
