# File generated by CMD 3.7 (http://stev.oapd.inaf.it/cmd) on Thu Nov 16 20:07:54 CET 2023
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: SDSS <i>ugriz</i> + 2MASS <i>JHK</i><sub>s</sub>
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  umag    gmag    rmag    imag    zmag    Jmag    Hmag    Ksmag
4.9184e-05 -2.19174 10.00000 0.8275688291 2.4279977328    0.826  0.679  3.8179  3.900    2  0.000  0.529     0.00     0.00     0.00     0.00     0.00 -1 -7.34e-13      0.00 8.482e-01 1.517e-01 1.207e-05 3.324e-06 3.041e-05 -1.000 1.000e-04 3.073 4.135 3.302 3.111 3.073 3.095 2.285 2.053 2.027
4.9184e-05 -2.19174 10.00000 0.8291981816 2.4285236447    0.827  0.712  3.8102  3.836    2  0.000  0.529     0.00     0.00     0.00     0.00     0.00 -1 -8.53e-13      0.00 8.477e-01 1.522e-01 1.210e-05 3.332e-06 3.048e-05 -1.000 9.997e-05 2.989 4.064 3.236 3.023 2.973 2.986 2.163 1.914 1.887
4.9184e-05 -2.19174 10.00000 0.8304694295 2.4289323222    0.829  0.743  3.8011  3.770    2  0.000  0.529     0.00     0.00     0.00     0.00     0.00 -1 -9.86e-13      0.00 8.473e-01 1.526e-01 1.212e-05 3.339e-06 3.054e-05 -1.000 9.993e-05 2.913 4.006 3.184 2.943 2.878 2.881 2.041 1.775 1.743
4.9184e-05 -2.19174 10.00000 0.8314917684 2.4292599387    0.830  0.771  3.7910  3.702    2  0.000  0.529     0.00     0.00     0.00     0.00     0.00 -1 -1.14e-12      0.00 8.470e-01 1.529e-01 1.214e-05 3.345e-06 3.060e-05 -1.000 8.632e-05 2.842 3.962 3.141 2.868 2.787 2.778 1.922 1.635 1.599
4.9184e-05 -2.19174 10.00000 0.8323430419 2.4295320299    0.830  0.797  3.7806  3.635    2  0.000  0.529     0.00     0.00     0.00     0.00     0.00 -1 -1.31e-12      0.00 8.429e-01 1.571e-01 1.238e-05 3.410e-06 3.118e-05 -1.000 6.822e-05 2.777 3.929 3.106 2.800 2.701 2.680 1.807 1.500 1.459
4.9184e-05 -2.19174 10.00000 0.8330845237 2.4297685076    0.831  0.822  3.7708  3.571    2  0.000  0.531     0.00     0.00     0.00     0.00     0.00 -1 -1.49e-12      0.00 8.236e-01 1.763e-01 1.348e-05 3.704e-06 3.381e-05 -1.000 4.196e-05 2.714 3.904 3.072 2.734 2.620 2.588 1.698 1.374 1.327
4.9184e-05 -2.19174 10.00000 0.8337684870 2.4299862123    0.832  0.849  3.7620  3.509    2  0.000  0.534     0.00     0.00     0.00     0.00     0.00 -1  -1.7e-12      0.00 7.996e-01 2.004e-01 1.486e-05 4.072e-06 3.710e-05 -1.000 6.998e-05 2.648 3.876 3.033 2.667 2.538 2.496 1.591 1.251 1.198
4.9184e-05 -2.19174 10.00000 0.8344549537 2.4302043012    0.832  0.884  3.7541  3.443    2  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -1.98e-12      0.00 7.817e-01 2.182e-01 1.590e-05 4.350e-06 3.957e-05 -1.000 1.000e-04 2.561 3.834 2.972 2.579 2.437 2.385 1.468 1.115 1.056
4.9184e-05 -2.19174 10.00000 0.8349917531 2.4303745538    0.833  0.920  3.7491  3.387    2  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1  -2.3e-12      0.00 7.743e-01 2.256e-01 1.632e-05 4.464e-06 4.059e-05 -1.000 1.000e-04 2.471 3.776 2.899 2.489 2.338 2.280 1.355 0.993 0.931
4.9184e-05 -2.19174 10.00000 0.8355230093 2.4305428007    0.833  0.963  3.7450  3.328    2  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -2.72e-12      0.00 7.700e-01 2.299e-01 1.658e-05 4.531e-06 4.119e-05 -1.000 1.000e-04 2.362 3.695 2.806 2.381 2.223 2.160 1.228 0.859 0.794
4.9184e-05 -2.19174 10.00000 0.8356020451 2.4305678100    0.833  0.971  3.7445  3.318    3  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -2.81e-12      0.00 7.696e-01 2.304e-01 1.660e-05 4.538e-06 4.125e-05 -1.000 2.821e-05 2.344 3.680 2.789 2.363 2.204 2.140 1.207 0.837 0.772
4.9184e-05 -2.19174 10.00000 0.8360363841 2.4307051510    0.834  1.012  3.7421  3.267    3  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -3.26e-12      0.00 7.672e-01 2.327e-01 1.672e-05 4.570e-06 4.154e-05 -1.000 1.000e-04 2.239 3.592 2.693 2.258 2.096 2.029 1.092 0.718 0.651
